robot_id,task_type,algorithm,start_time,end_time,duration_min,error_occurred,energy_kwh
R0048,pick,A,2025-01-02T13:12:00,2025-01-02T13:38:17.750278,26.3,0,11.97
R0053,place,A,2025-02-11T23:46:00,2025-02-12T00:12:49.618489,26.83,0,13.99
R0008,move,A,2025-02-15T21:12:00,2025-02-15T21:41:08.089536,29.13,0,10.62
R0092,move,B,2025-02-14T04:17:00,2025-02-14T04:49:36.350811,32.61,0,9.01
R0081,pick,B,2025-01-29T01:33:00,2025-01-29T02:00:53.472216,27.89,0,10.06
R0059,move,A,2025-01-07T05:07:00,2025-01-07T05:49:00.607885,42.01,0,11.95
R0089,place,B,2025-01-30T05:47:00,2025-01-30T06:11:03.393960,24.06,0,11.28
R0083,place,A,2025-01-10T05:03:00,2025-01-10T05:32:06.296410,29.1,0,10.54
R0032,pick,B,2025-01-21T19:49:00,2025-01-21T20:21:26.998339,32.45,0,12.45
R0050,pick,A,2025-01-13T05:26:00,2025-01-13T05:57:22.653169,31.38,0,10.4
R0040,place,A,2025-01-03T05:42:00,2025-01-03T06:21:03.594037,39.06,0,12.72
R0030,place,B,2025-03-05T15:39:00,2025-03-05T16:04:23.544916,25.39,0,13.38
R0063,move,A,2025-02-14T13:44:00,2025-02-14T14:14:34.360010,30.57,0,13.9
R0014,pick,A,2025-02-02T11:08:00,2025-02-02T11:40:00.403088,32.01,0,16.37
R0043,place,A,2025-01-04T18:33:00,2025-01-04T18:57:50.527126,24.84,0,10.94
R0027,pick,B,2025-01-08T00:05:00,2025-01-08T00:46:20.552795,41.34,0,11.01
R0067,place,A,2025-02-20T19:31:00,2025-02-20T19:55:21.651834,24.36,0,13.13
R0075,move,A,2025-01-28T00:06:00,2025-01-28T00:41:27.313831,35.46,0,11.78
R0058,pick,B,2025-01-23T12:42:00,2025-01-23T13:01:36.630487,19.61,0,9.4
R0049,place,B,2025-01-08T18:36:00,2025-01-08T18:56:58.312147,20.97,0,15.2
R0040,place,A,2025-02-16T10:06:00,2025-02-16T10:27:50.114316,21.84,0,10.85
R0083,pick,B,2025-01-12T17:58:00,2025-01-12T18:28:23.872171,30.4,0,8.69
R0042,move,B,2025-01-14T08:09:00,2025-01-14T08:38:48.438886,29.81,0,9.83
R0013,move,A,2025-01-29T13:36:00,2025-01-29T14:07:37.140038,31.62,0,11.42
